channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
uniform,0.3,,8,12,4,10000,796430686864360516,0.727700,0.127875,17.413,21.200,9.221,17.603,,,232128,53.640
uniform,0.3,,8,12,4,10000,6907034817749496069,0.723200,0.130513,17.548,21.510,9.274,17.833,,,232128,53.640
ge,2,100,8,12,4,10000,1601392492191049433,0.999900,0.000037,17.661,21.771,5.096,9.969,,,232128,53.640
ge,2,100,8,12,4,10000,7409658951398704603,0.999800,0.000112,17.425,21.331,5.085,12.473,,,232128,53.640
ge,2,100,8,12,4,10000,13349905268229240895,1.000000,0.000000,17.432,21.311,5.093,9.047,,,232128,53.640
ge,5,100,8,12,4,10000,1200606846042593871,0.986700,0.005975,17.488,21.331,7.137,17.603,,,232128,53.640
ge,5,100,8,12,4,10000,7029625570506231135,0.987500,0.005712,17.515,21.420,7.023,17.674,,,232128,53.640
ge,5,100,8,12,4,10000,3666613055461966506,0.988800,0.005550,17.501,21.440,7.061,17.653,,,232128,53.640
ge,10,100,8,12,4,10000,470634412306107487,0.920600,0.046187,17.449,21.381,8.562,17.634,,,232128,53.640
ge,10,100,8,12,4,10000,17724023678531216040,0.925500,0.042263,17.403,21.261,8.413,17.704,,,232128,53.640
ge,10,100,8,12,4,10000,18098838230210493465,0.920700,0.045125,17.502,21.381,8.149,17.744,,,232128,53.640
ge,20,100,8,12,4,10000,7358904933284410745,0.820200,0.114212,17.490,21.391,9.476,17.783,,,232128,53.640
ge,20,100,8,12,4,10000,17577343360647672371,0.820400,0.118650,17.438,21.341,9.785,17.703,,,232128,53.640
ge,20,100,8,12,4,10000,15040285114852173228,0.820800,0.114513,17.438,21.380,9.361,17.783,,,232128,53.640
ge,2,1000,8,12,4,10000,11304037893462708558,1.000000,0.000000,17.445,21.300,4.599,8.837,,,232128,53.640
ge,2,1000,8,12,4,10000,10675765895280261590,1.000000,0.000000,17.534,21.461,4.787,9.377,,,232128,53.640
ge,2,1000,8,12,4,10000,7434738299858078886,1.000000,0.000000,17.590,21.521,4.713,8.887,,,232128,53.640
ge,5,1000,8,12,4,10000,12379409511084997316,0.999900,0.000063,17.559,21.450,6.946,17.964,,,232128,53.640
ge,5,1000,8,12,4,10000,6248661471733801888,0.998900,0.000500,17.503,21.461,6.584,17.503,,,232128,53.640
ge,5,1000,8,12,4,10000,6028805525172061198,0.999700,0.000037,17.433,21.331,6.175,17.613,,,232128,53.640
ge,10,1000,8,12,4,10000,13148117461830021618,0.991500,0.004913,17.532,21.451,8.383,17.874,,,232128,53.640
ge,10,1000,8,12,4,10000,2460685900297177355,0.992500,0.004825,17.534,21.491,8.521,17.884,,,232128,53.640
ge,10,1000,8,12,4,10000,8850736538529437608,0.996300,0.002087,17.507,21.360,8.736,17.994,,,232128,53.640
ge,20,1000,8,12,4,10000,2758176821205310302,0.975400,0.016275,17.465,21.371,10.152,17.864,,,232128,53.640
ge,20,1000,8,12,4,10000,2902604501212797299,0.982100,0.011700,17.473,21.340,9.671,18.115,,,232128,53.640
ge,20,1000,8,12,4,10000,13024206281024316028,0.985000,0.009737,17.525,21.291,9.277,17.964,,,232128,53.640
periodic,5,1,8,12,4,10000,11158954617063123305,1.000000,0.000000,17.446,21.380,7.083,10.200,,,232128,53.640
periodic,5,1,8,12,4,10000,15645588381180510326,1.000000,0.000000,17.469,21.351,7.099,10.350,,,232128,53.640
periodic,5,1,8,12,4,10000,18286053710173348128,1.000000,0.000000,17.474,21.330,7.102,10.209,,,232128,53.640
periodic,10,1,8,12,4,10000,9376543757133648495,1.000000,0.000000,17.648,22.001,7.198,11.713,,,232128,53.640
periodic,10,1,8,12,4,10000,14850215694019629216,1.000000,0.000000,17.483,21.431,7.112,10.961,,,232128,53.640
periodic,10,1,8,12,4,10000,10568638685320411501,1.000000,0.000000,17.456,21.380,7.099,10.329,,,232128,53.640
periodic,20,1,8,12,4,10000,15287656019142751604,1.000000,0.000000,17.530,21.541,7.136,10.320,,,232128,53.640
periodic,20,1,8,12,4,10000,16185380380789096309,1.000000,0.000000,17.538,21.420,7.118,9.928,,,232128,53.640
periodic,20,1,8,12,4,10000,5538152792491274968,1.000000,0.000000,17.424,21.040,7.079,9.448,,,232128,53.640
uniform,0.01,,8,12,8,10000,8277919449578317505,1.000000,0.000000,17.447,21.311,4.694,8.957,,,302784,102.280
uniform,0.01,,8,12,8,10000,12856693253317439264,1.000000,0.000000,17.507,21.391,4.674,9.018,,,302784,102.280
uniform,0.01,,8,12,8,10000,13854438997287381787,1.000000,0.000000,17.520,21.371,4.719,9.047,,,302784,102.280
uniform,0.05,,8,12,8,10000,10607499239734584643,0.999900,0.000037,17.499,21.361,5.323,13.255,,,302784,102.280
uniform,0.05,,8,12,8,10000,12478428404986882045,0.999800,0.000100,17.495,21.381,5.310,13.195,,,302784,102.280
uniform,0.05,,8,12,8,10000,7546330715999462659,0.999800,0.000075,17.451,21.381,5.344,13.185,,,302784,102.280
