channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
ge,10,100,8,12,2,10000,17450071103506470890,0.908000,0.061225,17.112,21.130,9.135,17.523,0.475,0.857,196800,29.320
ge,10,100,8,12,2,10000,16260185020908320904,0.903500,0.060887,17.060,20.559,9.120,17.954,0.453,0.857,196800,29.320
ge,10,100,8,12,2,10000,16767957785317707209,0.905400,0.062000,17.026,20.289,9.540,17.633,0.447,0.851,196800,29.320
ge,20,100,8,12,2,10000,25190584354861513,0.809500,0.143150,17.069,20.499,10.346,18.174,0.452,0.861,196800,29.320
ge,20,100,8,12,2,10000,9204885224445862916,0.812000,0.142075,16.964,20.089,10.043,17.613,0.458,0.851,196800,29.320
ge,20,100,8,12,2,10000,14766463956440462569,0.816600,0.136700,17.039,20.279,9.953,17.323,0.451,0.852,196800,29.320
ge,2,1000,8,12,2,10000,8579735025454703038,0.999800,0.000100,17.327,23.054,6.241,17.332,0.473,0.866,196800,29.320
ge,2,1000,8,12,2,10000,6561254157110429571,1.000000,0.000000,16.956,19.878,6.223,17.193,0.467,0.851,196800,29.320
ge,2,1000,8,12,2,10000,410949857885299948,1.000000,0.000000,17.014,20.129,5.562,13.055,0.449,0.851,196800,29.320
ge,5,1000,8,12,2,10000,7364842887994936681,0.997600,0.001225,17.155,20.840,8.958,21.862,0.453,0.852,196800,29.320
ge,5,1000,8,12,2,10000,7817533889212259067,0.995600,0.002237,16.969,19.917,10.023,29.596,0.450,0.851,196800,29.320
ge,5,1000,8,12,2,10000,10353942501636667835,0.997400,0.001187,16.989,19.837,7.805,17.574,0.449,0.851,196800,29.320
ge,10,1000,8,12,2,10000,1870399417646796121,0.990000,0.005550,16.972,19.797,9.266,18.294,0.450,0.851,196800,29.320
ge,10,1000,8,12,2,10000,12983207030925713620,0.990600,0.006375,16.957,19.788,9.011,17.303,0.449,0.851,196800,29.320
ge,10,1000,8,12,2,10000,10637121105819468671,0.990400,0.006375,16.958,19.908,8.206,18.304,0.447,0.851,196800,29.320
ge,20,1000,8,12,2,10000,17967908698206224761,0.975900,0.018250,16.988,19.908,10.150,18.004,0.445,0.846,196800,29.320
ge,20,1000,8,12,2,10000,11206957826593186236,0.973100,0.020700,16.988,20.068,9.137,17.924,0.449,0.852,196800,29.320
ge,20,1000,8,12,2,10000,6368716346075050128,0.981400,0.013413,17.013,20.259,9.513,17.784,0.450,0.856,196800,29.320
periodic,5,1,8,12,2,10000,4121652808091405147,1.000000,0.000000,17.402,22.302,7.064,11.391,0.379,0.571,196800,29.320
periodic,5,1,8,12,2,10000,465183847025603874,1.000000,0.000000,17.124,21.240,6.991,10.520,0.370,0.496,196800,29.320
periodic,5,1,8,12,2,10000,12560626997507922263,1.000000,0.000000,17.109,21.080,6.961,10.510,0.372,0.491,196800,29.320
periodic,10,1,8,12,2,10000,998183819353684604,1.000000,0.000000,17.123,21.080,6.956,10.260,0.373,0.516,196800,29.320
periodic,10,1,8,12,2,10000,9841162411914489053,1.000000,0.000000,17.072,20.539,7.086,9.508,0.399,0.405,196800,29.320
periodic,10,1,8,12,2,10000,7356558411594439508,1.000000,0.000000,16.960,19.988,6.953,9.157,0.368,0.390,196800,29.320
periodic,20,1,8,12,2,10000,18075917544999933958,1.000000,0.000000,17.034,20.398,4.358,4.960,0.367,0.460,196800,29.320
periodic,20,1,8,12,2,10000,4449450166920220122,1.000000,0.000000,17.056,21.030,4.372,5.200,0.370,0.476,196800,29.320
periodic,20,1,8,12,2,10000,3835718846038952762,1.000000,0.000000,17.070,21.090,4.377,5.440,0.371,0.471,196800,29.320
uniform,0.01,,8,12,4,10000,16522878805558571796,1.000000,0.000000,16.959,20.058,4.667,9.047,0.438,0.613,232128,53.640
uniform,0.01,,8,12,4,10000,13911882483494241882,1.000000,0.000000,16.940,19.868,4.513,8.817,0.418,0.611,232128,53.640
uniform,0.01,,8,12,4,10000,13604510954101610738,1.000000,0.000000,16.976,20.278,4.539,8.767,0.413,0.603,232128,53.640
uniform,0.05,,8,12,4,10000,15707668516842392401,0.999900,0.000050,17.031,20.739,5.202,12.835,0.418,0.613,232128,53.640
uniform,0.05,,8,12,4,10000,4062403525201248500,0.999800,0.000087,17.000,20.508,5.261,12.844,0.440,0.618,232128,53.640
uniform,0.05,,8,12,4,10000,5380880507770764522,0.999800,0.000087,17.004,20.408,5.277,12.834,0.421,0.616,232128,53.640
uniform,0.1,,8,12,4,10000,11367048128334016189,0.995300,0.001975,16.987,20.069,6.019,12.884,0.427,0.618,232128,53.640
uniform,0.1,,8,12,4,10000,547894991860056883,0.996000,0.001737,16.970,19.918,6.037,12.855,0.424,0.616,232128,53.640
uniform,0.1,,8,12,4,10000,1364814141912166748,0.994600,0.002175,17.002,21.049,6.007,12.874,0.429,0.668,232128,53.640
uniform,0.2,,8,12,4,10000,9436434948544067457,0.928900,0.031750,16.959,20.238,7.701,17.102,0.440,0.696,232128,53.640
uniform,0.2,,8,12,4,10000,15447835092050391833,0.930500,0.030912,17.151,21.591,7.722,17.103,0.468,0.759,232128,53.640
uniform,0.2,,8,12,4,10000,17264690616149260417,0.925600,0.032688,17.170,21.520,7.726,17.123,0.449,0.768,232128,53.640
uniform,0.3,,8,12,4,10000,7926246277466214520,0.730500,0.126663,17.001,20.079,8.835,17.113,0.438,0.641,232128,53.640
uniform,0.3,,8,12,4,10000,796430686864360516,0.727700,0.127875,17.078,20.559,8.991,17.123,0.434,0.741,232128,53.640
uniform,0.3,,8,12,4,10000,6907034817749496069,0.723200,0.130513,17.025,20.328,8.994,17.113,0.443,0.691,232128,53.640
ge,2,100,8,12,4,10000,1601392492191049433,0.999900,0.000037,16.970,20.188,4.856,8.797,0.415,0.603,232128,53.640
ge,2,100,8,12,4,10000,7409658951398704603,0.999800,0.000112,16.981,20.388,5.170,11.201,0.415,0.621,232128,53.640
ge,2,100,8,12,4,10000,13349905268229240895,1.000000,0.000000,16.946,19.907,5.117,9.207,0.414,0.608,232128,53.640
